item_id,reviewer_role,reviewer_id,independent_of_authors_yes_no,review_date_yyyy_mm_dd,expertise_summary,years_relevant_experience,conflict_of_interest,material_reviewed,first_pass_frozen_at_utc,review_record_id,signed_attestation_yes_no,signed_review_record_sha256,technique_mapping_correct_1_to_5,action_coherent_1_to_5,order_plausible_1_to_5,checks_deterministic_1_to_5,critical_error_yes_no,acceptable_yes_no,correction_required_yes_no,correction_summary,notes
REF-01,internal-author,,,,,,,,,,,,,,,,,,,,
REF-01,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-02,internal-author,,,,,,,,,,,,,,,,,,,,
REF-02,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-03,internal-author,,,,,,,,,,,,,,,,,,,,
REF-03,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-04,internal-author,,,,,,,,,,,,,,,,,,,,
REF-04,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-05,internal-author,,,,,,,,,,,,,,,,,,,,
REF-05,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-06,internal-author,,,,,,,,,,,,,,,,,,,,
REF-06,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-07,internal-author,,,,,,,,,,,,,,,,,,,,
REF-07,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-08,internal-author,,,,,,,,,,,,,,,,,,,,
REF-08,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-09,internal-author,,,,,,,,,,,,,,,,,,,,
REF-09,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-10,internal-author,,,,,,,,,,,,,,,,,,,,
REF-10,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-11,internal-author,,,,,,,,,,,,,,,,,,,,
REF-11,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-12,internal-author,,,,,,,,,,,,,,,,,,,,
REF-12,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-13,internal-author,,,,,,,,,,,,,,,,,,,,
REF-13,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-14,internal-author,,,,,,,,,,,,,,,,,,,,
REF-14,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-15,internal-author,,,,,,,,,,,,,,,,,,,,
REF-15,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-16,internal-author,,,,,,,,,,,,,,,,,,,,
REF-16,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-17,internal-author,,,,,,,,,,,,,,,,,,,,
REF-17,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-18,internal-author,,,,,,,,,,,,,,,,,,,,
REF-18,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-19,internal-author,,,,,,,,,,,,,,,,,,,,
REF-19,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-20,internal-author,,,,,,,,,,,,,,,,,,,,
REF-20,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-21,internal-author,,,,,,,,,,,,,,,,,,,,
REF-21,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-22,internal-author,,,,,,,,,,,,,,,,,,,,
REF-22,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-23,internal-author,,,,,,,,,,,,,,,,,,,,
REF-23,independent-non-author,,,,,,,,,,,,,,,,,,,,
REF-24,internal-author,,,,,,,,,,,,,,,,,,,,
REF-24,independent-non-author,,,,,,,,,,,,,,,,,,,,
